channel_name,total_subscribers,total_views,total_videos
T-Series,212000000,300000000000,24700
SET India,139000000,180000000000,162000
Zee Music Company,91400000,80000000000,15100
Goldmines,72000000,25000000000,12500
Sony SAB,69200000,70000000000,104700
Zee TV,64000000,65000000000,220600
Shemaroo Filmi Gaane,61100000,5448487775,9700
Colors TV,59200000,64000000000,23800
ChuChu TV Nursery Rhymes & Kids Songs,58700000,38000000000,987
Tips Official,56500000,45000000000,8800
Wave Music,55600000,14000000000,20900
Sony Music India,55300000,7000000000,11200
ZEE5,13900000,10000000000,11200
Aaj Tak,54000000,7800000000,541100
YRF,48400000,6500000000,4700
Infobells - Hindi,46600000,10568951440,861
CarryMinati,41600000,16000000000,205
Shemaroo,41200000,4070000000,13400
Speed Records,41100000,5250819471,12700
Voot Kids,39300000,13085892415,2674
Ishtar Music,38500000,11590135067,5000
Goldmines Gaane Sune Ansune,35600000,3590527033,4000
T-Series Apna Punjab,33600000,7811861906,9300
Total Gaming,33600000,3789973097,559
ABP NEWS,33500000,2860290188,511500
Desi Music Factory,33000000,2083118423,329
Bollywood Classics,32700000,1976491150,2400
Saregama Music,32100000,2160320865,10300
Rajshri,31900000,24500000000,4800
IndiaTV,31600000,20000000000,338800
Eros Now Music,31100000,32000000000,7500
MR. INDIAN HACKER,29800000,26000000000,1200
Zee News,28700000,23000000000,249800
Techno Gamerz,28100000,25500000000,1100
Wow Kidz,27600000,25000000000,14400
infobells - Tamil,27100000,18000000000,830
infobells - Telugu,26500000,20000000000,787
BB Ki Vines,25500000,20000000000,170
Shemaroo Movies,22600000,17500000000,3700
White Hill Music,22400000,14000000000,11200
Technical Guruji,22200000,10000000000,4700
Venus Movies,21800000,10500000000,3600
Wave Music Bhojpuri,21800000,23000000000,10200
Crazy XYZ,21700000,16000000000,1400
Dushyant kukreja,21300000,10000000000,1600
Pen Movies,21100000,12000000000,1800
Ultra Movie Parlour,20800000,8500000000,2300
Netflix India,20600000,15000000000,6200
Dr. Vivek Bindra: Motivational Speaker,20500000,13000000000,2700
Goldmines Cineplex,20400000,13500000000,5400
StarPlus,20100000,12000000000,124200
DLS News,19000000,14000000000,8030
Heidi & Zidane बच्चों की कहानियाँ,18900000,4800000000,1200
Green Gold TV - Official Channel,18700000,9500000000,2800
Khan GS Research Centre,18200000,12000000000,2840
etvteluguindia,17800000,18500000000,163000
Sun TV,17600000,8000000000,14900
Triggered Insaan,17500000,10000000000,210
Dangal TV Channel,17300000,8000000000,47000
Stubborn Facts,17300000,10000000000,1100
Sidhu Moose Wala,17100000,7500000000,122
Village Cooking Channel,17100000,10000000000,256
Busy Fun Ltd,16900000,1800000000,329
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,16700000,15000000000,377
Wow Kidz Action,16600000,15000000000,8200
Prajapati News,16100000,2000000000,2000
Zappy Toons - Hindi Nursery Rhymes and Stories,15900000,2000000000,838
Aayu and Pihu Show,15800000,8000000000,763
RKD Studios,15700000,10000000000,1300
And TV,15700000,9000000000,110800
SriBalajiMovies,15500000,8500000000,33460
Taarak Mehta Ka Ooltah Chashmah,15200000,5000000000,21000
NDTV India,15100000,10000000000,200000
Volga Video,15000000,9000000000,3100
Harsh Beniwal,15000000,13000000000,65
Fun For Kids TV - Hindi Rhymes,14500000,15000000000,163
Gyan Gamingㅤ,14400000,18000000000,700
Team Films Bhojpuri,14400000,9000000000,8300
Shorts Break,14300000,6000000000,869
SRK MUSIC,14200000,2000000000,5500
Mazhavil Manorama,14000000,7000000000,151880
DM - Desi Melodies,14000000,2500000000,48
Sony Music South,13800000,8000000000,6300
MY FAMILY,13800000,15000000000,427
Online Job,13500000,7811861906,6300
infobells,13500000,8000000000,2000
The MriDul,13300000,10000000000,200
MyMissAnand,13200000,6500000000,1500
Anaysa,13200000,8000000000,1300
NishaMadhulika,13100000,8000000000,4000
ETV Jabardasth,13000000,2500000000,15000
Mythpat,13000000,3500000000,1200
Desi Gamers,13000000,3000000000,500
Zee Bangla,13000000,6000000000,68000
Lotus Music,12900000,3000000000,597
CookingShooking Hindi,12800000,12000000000,1200
Zee Telugu,12700000,500000000,50200
Dear Sir,12700000,10000000000,1100
T-Series Hamaar Bhojpuri,12600000,6000000000,5500
Health Time,12600000,4000000000,1300
